Q24	I136	" +++ADD "
Q34	I0	" +++ADD "
Q45	I13	" +++ADD "
Q55	I26	" +++ADD "
Q124	I237	" +++ADD "
Q134	I52	" +++ADD "
Q138	I12	" +++ADD "
Q156	I109	" +++ADD "
Q177	I24	" +++ADD "
Q178	I139	" +++ADD "
Q194	I155	" +++ADD "
Q198	I102	" +++ADD "
Q201	I50	" +++ADD "
Q268	I201	" +++ADD "
Q272	I15	" +++ADD "
Q402	I138	" +++ADD "
Q422	I135	" +++ADD "
Q450	I134	" +++ADD "
Q527	I198	" +++ADD "
Q616	I141	" +++ADD "
Q651	I216	" +++ADD "
Q786	I63	" +++ADD "
Q793	I33	" +++ADD "
Q860	I197	" +++ADD "
Q1242	I86	" +++ADD "
Q1378	I210	" +++ADD "
Q1410	I11	" +++ADD "
Q1543	I124	" +++ADD "
Q1553	I126	" +++ADD "
