Q2	I4	" +++ADD "
Q29	I11	" +++ADD "
Q106	I17	" +++ADD "
Q133	I6	" +++ADD "
Q179	I21	" +++ADD "
Q225	I7	" +++ADD "
Q242	I0	" +++ADD "
Q272	I0	" ---drop "
Q298	I6	" ---drop "
Q299	I7	" ---drop "
Q610	I15	" +++ADD "
Q643	I15	" ---drop "
Q653	I15	" +++ADD "
Q672	I15	" ---drop "
Q697	I15	" +++ADD "
Q730	I15	" ---drop "
Q827	I15	" +++ADD "
Q842	I17	" ---drop "
Q853	I15	" ---drop "
Q892	I17	" +++ADD "
Q901	I5	" +++ADD "
Q909	I14	" +++ADD "
Q914	I16	" +++ADD "
Q935	I15	" +++ADD "
Q1185	I14	" ---drop "
Q1191	I16	" ---drop "
Q1202	I5	" ---drop "
Q1428	I15	" ---drop "
Q1606	I7	" +++ADD "
Q1725	I23	" +++ADD "
Q1829	I29	" +++ADD "
Q1831	I13	" +++ADD "
Q1834	I24	" +++ADD "
Q1871	I2	" +++ADD "
Q1908	I23	" ---drop "
Q1910	I24	" ---drop "
Q1929	I1	" +++ADD "
Q1945	I19	" +++ADD "
Q1946	I23	" +++ADD "
Q1969	I28	" +++ADD "
Q1993	I12	" +++ADD "
Q1998	I24	" +++ADD "
Q2006	I3	" +++ADD "
Q2047	I15	" +++ADD "
Q2083	I6	" +++ADD "
Q2124	I0	" +++ADD "
Q2125	I20	" +++ADD "
Q2146	I15	" ---drop "
Q2157	I10	" +++ADD "
Q2283	I3	" ---drop "
Q2369	I0	" ---drop "
Q2370	I1	" ---drop "
Q2371	I2	" ---drop "
