Q177	I4	" +++ADD "
Q271	I0	" +++ADD "
Q279	I11	" +++ADD "
Q295	I6	" +++ADD "
Q298	I7	" +++ADD "
Q301	I0	" ---drop "
Q374	I6	" ---drop "
Q378	I7	" ---drop "
Q418	I17	" +++ADD "
Q442	I21	" +++ADD "
Q632	I15	" +++ADD "
Q645	I15	" ---drop "
Q671	I15	" +++ADD "
Q693	I15	" ---drop "
Q712	I15	" +++ADD "
Q732	I15	" ---drop "
Q849	I15	" +++ADD "
Q864	I17	" ---drop "
Q872	I15	" ---drop "
Q960	I15	" +++ADD "
Q969	I17	" +++ADD "
Q978	I5	" +++ADD "
Q1000	I16	" +++ADD "
Q1148	I14	" +++ADD "
Q1204	I14	" ---drop "
Q1212	I16	" ---drop "
Q1220	I5	" ---drop "
Q1440	I15	" ---drop "
Q1799	I23	" +++ADD "
Q1881	I13	" +++ADD "
Q1909	I24	" +++ADD "
Q1945	I23	" ---drop "
Q1982	I29	" +++ADD "
Q1988	I24	" ---drop "
Q1997	I28	" +++ADD "
Q2043	I23	" +++ADD "
Q2044	I24	" +++ADD "
Q2066	I12	" +++ADD "
Q2145	I15	" +++ADD "
Q2165	I7	" +++ADD "
Q2178	I0	" +++ADD "
Q2181	I19	" +++ADD "
Q2182	I2	" +++ADD "
Q2186	I15	" ---drop "
Q2195	I3	" +++ADD "
Q2281	I20	" +++ADD "
Q2291	I10	" +++ADD "
Q2327	I1	" +++ADD "
Q2350	I6	" +++ADD "
