Q6	I7	" +++ADD "
Q14	I6	" +++ADD "
Q14	I13	" +++ADD "
Q14	I17	" +++ADD "
Q14	I265	" +++ADD "
Q14	I278	" +++ADD "
Q15	I6	" ---drop "
Q15	I13	" ---drop "
Q15	I19	" +++ADD "
Q17	I7	" ---drop "
Q19	I17	" ---drop "
Q19	I19	" ---drop "
Q19	I265	" ---drop "
Q19	I278	" ---drop "
Q19	I6	" +++ADD "
Q19	I13	" +++ADD "
Q19	I43	" +++ADD "
Q20	I6	" ---drop "
Q28	I19	" +++ADD "
Q30	I13	" ---drop "
Q30	I43	" ---drop "
Q30	I6	" +++ADD "
Q30	I54	" +++ADD "
Q31	I6	" ---drop "
Q35	I6	" +++ADD "
Q38	I19	" ---drop "
Q38	I14	" +++ADD "
Q40	I62	" +++ADD "
Q43	I14	" ---drop "
Q44	I6	" ---drop "
Q44	I54	" ---drop "
Q44	I43	" +++ADD "
Q46	I43	" ---drop "
Q46	I54	" +++ADD "
Q61	I54	" ---drop "
Q61	I43	" +++ADD "
Q75	I23	" +++ADD "
Q75	I39	" +++ADD "
Q76	I23	" ---drop "
Q77	I65	" +++ADD "
Q78	I39	" ---drop "
Q79	I43	" ---drop "
Q79	I54	" +++ADD "
Q84	I1	" +++ADD "
Q88	I7	" +++ADD "
Q88	I67	" +++ADD "
Q88	I89	" +++ADD "
Q88	I175	" +++ADD "
Q88	I228	" +++ADD "
Q88	I276	" +++ADD "
Q88	I277	" +++ADD "
Q89	I1	" ---drop "
Q89	I7	" ---drop "
Q89	I65	" ---drop "
Q89	I175	" ---drop "
Q89	I276	" ---drop "
Q89	I23	" +++ADD "
Q89	I39	" +++ADD "
Q90	I54	" ---drop "
Q90	I67	" ---drop "
Q90	I89	" ---drop "
Q90	I228	" ---drop "
Q90	I277	" ---drop "
Q90	I7	" +++ADD "
Q90	I18	" +++ADD "
Q90	I43	" +++ADD "
Q90	I175	" +++ADD "
Q90	I225	" +++ADD "
Q90	I276	" +++ADD "
Q91	I7	" ---drop "
Q92	I18	" ---drop "
Q92	I23	" ---drop "
Q92	I39	" ---drop "
Q92	I43	" ---drop "
Q92	I175	" ---drop "
Q92	I14	" +++ADD "
Q92	I54	" +++ADD "
Q93	I14	" ---drop "
Q93	I225	" ---drop "
Q93	I276	" ---drop "
Q93	I1	" +++ADD "
Q93	I7	" +++ADD "
Q94	I1	" ---drop "
Q94	I54	" ---drop "
Q94	I43	" +++ADD "
Q96	I7	" ---drop "
Q101	I43	" ---drop "
Q101	I54	" +++ADD "
Q116	I54	" ---drop "
Q116	I43	" +++ADD "
Q119	I131	" +++ADD "
Q119	I185	" +++ADD "
Q120	I62	" ---drop "
Q125	I43	" ---drop "
Q125	I54	" +++ADD "
Q125	I302	" +++ADD "
Q126	I54	" ---drop "
Q126	I43	" +++ADD "
Q131	I43	" ---drop "
Q131	I302	" ---drop "
Q131	I54	" +++ADD "
Q134	I54	" ---drop "
Q134	I43	" +++ADD "
Q143	I43	" ---drop "
Q143	I54	" +++ADD "
Q152	I228	" +++ADD "
Q153	I62	" +++ADD "
Q154	I89	" +++ADD "
Q154	I175	" +++ADD "
Q155	I175	" ---drop "
Q163	I54	" ---drop "
Q163	I43	" +++ADD "
Q169	I89	" ---drop "
